sym,date,ratio
AXP,2005-10-03,1.1424654404204273
AZZ,2007-05-07,2.0
AZZ,2012-07-31,2.0
BAC,2004-08-30,2.0
BALL,2002-02-25,2.0
BALL,2004-08-24,2.0
BALL,2011-02-16,2.0
BALL,2017-05-17,2.0
BANF,2006-03-02,2.0
BANF,2017-08-01,2.0
BANR,2000-10-27,1.1
BANR,2011-06-01,0.14285714285714285
BARK,2026-04-01,0.05
BAX,2001-05-31,2.0
BAX,2015-07-01,1.841
BBSI,2005-05-20,1.5
BBSI,2024-06-24,4.0
BBWI,2000-05-31,2.0
BBWI,2021-08-03,1.237
BBY,2002-05-13,1.5
BBY,2005-08-04,1.5
BCAB,2026-04-06,0.02
BCBP,2003-10-30,1.1
BCBP,2004-11-23,1.25
BCBP,2005-10-28,1.25
BCPC,2005-01-21,1.5
BCPC,2006-01-23,1.5
BCPC,2007-01-22,1.5
BCPC,2010-01-21,1.5
BCSF,2020-05-12,1.019
BDC,2000-08-22,1.5
BDC,2004-07-16,0.5
BDX,2022-04-01,1.025
BDX,2026-02-10,1.272
BEN,2013-07-26,3.0
BEPC,2020-12-14,1.5
BF-A,2004-01-21,2.0
BF-A,2008-10-28,1.25
BF-A,2012-08-13,1.5
BF-A,2016-08-19,2.0
BF-A,2018-02-07,1.339
BF-A,2018-03-01,1.25
BFH,2021-11-08,1.253
BGC,2018-12-03,1.555
BH,2009-12-21,0.05
BH,2013-08-23,1.077
BH,2014-08-15,1.077
BH,2018-05-01,1.5
BHB,2014-05-20,1.5
BHB,2017-03-22,1.5
BHE,2003-11-14,1.5
BHE,2006-04-04,1.5
BHR,2019-10-28,1.01
BIIB,2001-01-18,3.0
BIO,2002-03-08,2.0
BKE,2007-01-16,1.5
BKE,2008-10-31,1.5
BKE,2014-01-13,1.0241
BKKT,2024-04-29,0.04
BKNG,2003-06-16,0.16666666666666666
BKNG,2026-04-06,25.0
BKSY,2024-09-09,0.125
BLFS,2000-06-16,0.2
BLFS,2014-01-29,0.07142857142857142
BLNK,2011-02-25,0.02
BLNK,2017-08-29,0.02
BMI,2004-12-13,2.0
BMI,2006-06-16,2.0
BMI,2016-09-16,2.0
BMRC,2000-04-19,1.05
BMRC,2001-04-19,1.05
BMRC,2002-04-18,1.05
BMRC,2003-04-16,1.05
BMRC,2004-05-25,1.5
BMRC,2005-04-18,1.05
BMRC,2006-04-20,1.05
BMRC,2018-11-28,2.0
BMY,2001-08-07,1.0506662800214757
BOKF,2001-05-03,1.03
BOKF,2002-05-09,1.03
BOKF,2003-05-08,1.03
BOKF,2004-05-06,1.03
BOOM,2005-10-13,2.0
BPOP,2004-07-09,2.0
BPOP,2012-05-30,0.1
BRC,2005-01-03,2.0
BRK-B,2010-01-21,50.0
BRO,2000-08-24,2.0
BRO,2001-11-23,2.0
BRO,2005-11-29,2.0
BRO,2018-03-29,2.0
BSX,2003-11-06,2.0
BUSE,2004-08-04,1.5
BUSE,2015-09-08,0.3333333333333333
BWA,2004-05-18,2.0
BWA,2007-12-18,2.0
BWA,2013-12-17,2.0
BWA,2023-07-05,1.136
BWXT,2015-07-01,1.398
BXC,2016-06-14,0.1
BXMT,2003-04-03,0.3333333333333333
BXMT,2013-05-07,0.1
BYND,2026-08-14,0.03333333333333333
BZH,2005-03-23,3.0
BZH,2012-10-12,0.2
C,2000-08-28,1.3333333333333333
C,2011-05-09,0.1
CAC,2016-10-03,1.5
CACI,2001-12-07,2.0
CAG,2016-11-10,1.285
CAH,2001-04-23,1.5
CAKE,2000-06-09,1.5
CAKE,2001-06-19,1.5
CAKE,2004-12-09,1.5
CAL,2006-04-04,1.5
CAL,2007-04-03,1.5
CALM,2004-04-26,2.0
CALM,2014-11-03,2.0
CAPR,2013-11-21,0.02
CAPR,2019-06-05,0.1
CAR,2006-08-01,6.25
CAR,2006-09-05,0.1
CASH,2018-10-05,3.0
CASS,2002-12-03,1.05
CASS,2004-03-03,1.1
CASS,2005-09-16,1.5
CASS,2006-09-18,1.5
CASS,2007-11-29,1.1
CASS,2012-12-03,1.1
CASS,2017-12-04,1.1
CASS,2018-12-03,1.2
CAT,2005-07-14,2.0
CATX,2024-06-17,0.1
CATY,2002-05-10,2.0
CATY,2004-09-29,2.0
CBRE,2006-06-02,3.0
CBSH,2000-11-28,1.05
CBSH,2001-11-28,1.05
CBSH,2002-11-26,1.05
CBSH,2003-11-25,1.05
CBSH,2004-11-24,1.05
CBSH,2005-11-25,1.05
CBSH,2006-11-27,1.05
CBSH,2007-11-27,1.05
CBSH,2008-11-12,1.05
CBSH,2009-11-25,1.05
CBSH,2012-11-28,1.05
CBSH,2013-11-26,1.05
CBSH,2014-11-25,1.05
CBSH,2015-11-24,1.05
CBSH,2018-11-29,1.05
CBSH,2020-12-01,1.05
CBSH,2021-12-01,1.05
CBSH,2024-12-03,1.05
CBSH,2025-12-02,1.05
CBU,2004-04-13,2.0
CCBG,2003-06-16,1.25
CCBG,2005-07-05,1.25
CCNE,2004-05-24,2.5
CCOI,2005-03-24,0.05
CDE,2009-05-27,0.1
CDLX,2026-06-08,0.1
CDZI,2003-12-18,0.04
CELH,2009-12-24,0.05
CELH,2023-11-15,3.0
CENT,2024-02-09,1.277
CF,2015-06-18,5.0
CFFN,2010-12-22,2.2637
CGNX,2013-09-17,2.0
CGNX,2017-12-04,2.0
CHD,2004-09-02,1.5
CHD,2011-06-02,2.0
CHD,2016-09-02,2.0
CHDN,2019-01-28,3.0
CHDN,2023-05-22,2.0
CHE,2005-05-12,2.0
CHH,2005-10-24,2.0
CHPT,2025-07-28,0.05
CHRW,2000-12-04,2.0
CHRW,2005-10-17,2.0
CI,2007-06-05,3.0
CIEN,2000-09-19,2.0
CIEN,2006-09-25,0.14285714285714285
CIM,2015-04-07,0.2
CIM,2024-05-22,0.3333333333333333
CINF,2004-04-28,1.05
CINF,2005-04-04,1.05
CL,2013-05-16,2.0
CLAR,2020-08-07,1.002
CLDX,2008-03-10,0.08333333333333333
CLDX,2019-02-11,0.06666666666666667
CLF,2005-01-03,2.0
CLF,2006-07-03,2.0
CLF,2008-05-16,2.0
CLH,2011-07-27,2.0
CLSK,2019-12-11,0.1
CLW,2011-08-29,2.0
CMC,2002-07-01,2.0
CMC,2005-01-11,2.0
CMC,2006-05-23,2.0
CMCSA,2007-02-22,1.5
CMCSA,2017-02-21,2.0
CMCSA,2026-01-05,1.067
CME,2012-07-23,5.0
CMG,2024-06-26,50.0
CMI,2007-04-10,2.0
CMI,2008-01-03,2.0
CNC,2003-07-14,1.5
CNC,2004-12-20,2.0
CNC,2015-02-20,2.0
CNC,2019-02-07,2.0
CNMD,2001-09-10,1.5
CNOB,2001-05-16,1.05
CNOB,2002-05-15,1.05
CNOB,2003-06-03,2.0
CNOB,2005-05-26,1.05
CNOB,2007-04-27,1.05
CNP,2002-10-01,1.1862396204033214
CNX,2006-06-01,2.0
CNX,2017-11-29,1.2
CNXN,2000-05-24,1.5
COGT,2020-11-09,0.25
COHR,2000-09-21,2.0
COHR,2005-03-23,2.0
COHR,2011-06-27,2.0
COKE,2025-05-27,10.0
COLB,2000-05-08,1.1
COLB,2001-05-24,1.1
COLB,2002-04-12,1.05
COLB,2004-05-10,1.05
COLM,2001-06-05,1.5
COLM,2014-09-29,2.0
COO,2002-11-25,2.0
COO,2024-02-20,4.0
COOK,2026-03-18,0.02
COP,2005-06-02,2.0
COP,2012-05-01,1.311791
COR,2005-12-29,2.0
COR,2009-06-16,2.0
COST,2000-01-14,2.0
CPF,2002-11-12,2.0
CPF,2011-02-03,0.05
CPK,2014-09-09,1.5
CPRT,2000-01-25,2.0
CPRT,2002-01-22,1.5
CPRT,2012-03-29,2.0
CPRT,2017-04-11,2.0
CPRT,2022-11-04,2.0
CPRT,2023-08-22,2.0
CRBP,2023-02-14,0.03333333333333333
CRI,2006-06-07,2.0
CRK,2016-08-01,0.2
CRM,2013-04-18,4.0
CRMD,2019-03-26,0.2
CRMT,2005-04-15,1.5
CROX,2007-06-15,2.0
CRS,2007-11-16,2.0
CRVL,2001-09-04,1.5
CRVL,2006-12-11,1.5
CRVL,2013-06-27,2.0
CRVL,2024-12-26,3.0
CRVO,2014-03-10,0.01
CRVO,2016-08-19,0.1
CRVO,2018-12-14,0.06666666666666667
CRVO,2022-04-19,0.02
CRVO,2023-08-17,0.6666666666666666
CRWD,2026-07-02,4.0
CSCO,2000-03-23,2.0
CSGP,2021-06-28,10.0
CSL,2007-03-20,2.0
CSR,2018-12-28,0.1
CSX,2006-08-16,2.0
CSX,2011-06-16,3.0
CSX,2021-06-29,3.0
CTAS,2000-03-08,1.5
CTAS,2024-09-12,4.0
CTBI,2000-03-16,1.1
CTBI,2002-11-26,1.1
CTBI,2003-11-26,1.1
CTBI,2004-11-29,1.1
CTBI,2014-05-13,1.1
CTO,2020-11-18,1.228
CTO,2022-07-01,3.0
CTSH,2000-03-17,2.0
CTSH,2003-04-02,3.0
CTSH,2004-06-18,2.0
CTSH,2007-10-17,2.0
CTSH,2014-03-10,2.0
CUBI,2014-05-22,1.1
CURLF,2026-06-05,0.3333333333333333
CUZ,2000-10-03,1.5
CUZ,2016-10-07,1.417
CUZ,2019-06-17,0.25
CVBF,2000-02-01,1.25
CVBF,2001-01-03,1.1
CVBF,2002-01-22,1.25
CVBF,2003-01-22,1.25
CVBF,2003-12-30,1.1
CVBF,2005-01-14,1.25
CVBF,2006-01-27,1.25
CVBF,2007-01-03,1.1
CVCO,2005-02-01,2.0
CVEO,2020-11-20,0.08333333333333333
CVLG,2025-01-01,2.0
CVLG,2025-01-02,2.0
CVNA,2026-05-08,5.0
CVS,2005-06-07,2.0
CVX,2004-09-13,2.0
CW,2003-12-18,2.0
CW,2006-04-24,2.0
CWT,2011-06-13,2.0
CXW,2001-05-18,0.1
CXW,2006-09-14,1.5
CXW,2007-07-09,2.0
CYH,2016-04-22,1.21
CYRX,2010-02-05,0.1
CYRX,2015-05-19,0.08333333333333333
CYTK,2013-06-25,0.16666666666666666
CZNC,2000-11-22,1.01
CZNC,2002-01-02,1.01
CZNC,2002-12-26,1.01
CZNC,2003-04-22,1.5
CZNC,2003-12-24,1.01
CZNC,2005-12-27,1.01
CZNC,2006-12-28,1.01
CZNC,2007-12-28,1.01
D,2007-11-20,2.0
DAKT,2000-01-10,2.0
DAKT,2001-06-25,2.0
DAKT,2006-06-23,2.0
DAVE,2023-01-06,0.03125
DBI,2013-11-04,2.0
DBRG,2022-08-23,0.25
DCI,2004-03-22,2.0
DCI,2012-03-26,2.0
DCOM,2004-07-26,1.5
DD,2000-06-19,3.0
DD,2019-04-02,1.487
DD,2019-06-03,0.4725
DD,2025-11-03,2.39
DD,2026-06-24,0.3333333333333333
DDD,2011-05-19,2.0
DDD,2013-02-25,1.5
DE,2007-12-04,2.0
DEA,2025-04-28,0.4
DEC.L,2023-12-05,0.05
DECK,2010-07-06,3.0
DECK,2024-09-17,6.0
DELL,2018-12-28,1.806
DELL,2021-11-02,1.973
DGICA,2005-03-29,1.3333333333333333
DGICA,2006-04-27,1.3333333333333333
DGX,2001-06-01,2.0
DGX,2005-06-21,2.0
DHI,2000-09-14,1.09
DHI,2001-03-07,1.11
DHI,2002-04-10,1.5
DHI,2004-01-13,1.5
DHI,2005-03-17,1.3333333333333333
DHR,2004-05-21,2.0
DHR,2010-06-14,2.0
DHR,2016-07-05,1.319
DHR,2023-10-02,1.128
DINO,2001-07-09,2.0
DINO,2004-08-31,2.0
DINO,2006-06-02,2.0
DINO,2011-09-01,2.0
DIOD,2000-07-17,1.5
DIOD,2003-11-26,1.5
DIOD,2005-12-01,1.5
DIOD,2007-07-31,1.5
DIS,2007-06-13,1.0136847440446022
DKS,2004-04-06,2.0
DKS,2007-10-22,2.0
DLTR,2000-06-20,1.5
DLTR,2010-06-25,1.5
DLTR,2012-06-27,2.0
DLX,2001-01-02,1.2507817385866167
DNA,2024-08-20,0.025
DOC,2004-03-02,2.0
DOC,2016-11-01,1.098
DORM,2005-03-29,2.0
DORM,2012-06-18,2.0
DOV,2014-03-03,1.205
DOV,2018-05-09,1.238
DRI,2002-05-02,1.5
DRI,2015-11-10,1.1186933661483387
DRS,2001-04-04,0.4
DRS,2007-02-14,0.3333333333333333
DRS,2016-09-14,0.5
DSGR,2023-09-01,2.0
DTE,2021-07-01,1.175
DUK,2001-01-29,2.0
DUK,2007-01-03,1.7208742040956806
DUK,2012-07-03,0.3333333333333333
DVA,2004-06-16,1.5
DVA,2013-09-09,2.0
DVN,2004-11-16,2.0
DX,2019-06-21,0.3333333333333333
DXC,2015-11-30,1.7412
DXC,2018-06-01,1.156
DXCM,2022-06-13,4.0
DXPE,2008-10-01,2.0
DY,2000-02-17,1.5
EAF,2025-08-29,0.1
EAT,2001-01-17,1.5
EAT,2006-12-01,1.5
EBAY,2000-05-25,2.0
EBAY,2003-08-29,2.0
EBAY,2005-02-17,2.0
EBAY,2015-07-20,2.376
ECL,2003-06-09,2.0
EGAN,2003-08-20,0.1
EGBN,2000-04-03,1.25
EGBN,2001-06-18,1.4
EGBN,2005-03-01,1.3
EGBN,2006-07-06,1.3
EGBN,2008-09-16,1.1
EGBN,2013-05-29,1.1
EHC,2006-10-26,0.2
EHC,2022-07-01,1.257
EL,2012-01-23,2.0
ELS,2013-07-16,2.0
ELS,2019-10-16,2.0
ELV,2005-06-01,2.0
EME,2006-02-13,2.0
EME,2007-07-10,2.0
EMN,2011-10-04,2.0
EMR,2006-12-12,2.0
ENOV,2022-04-05,0.581
ENSG,2014-06-03,1.833
ENSG,2015-12-24,2.0
ENSG,2019-10-01,1.069
EOG,2005-03-02,2.0
EOG,2014-04-01,2.0
EPAC,2001-01-25,0.2
EPAC,2003-10-22,2.0
EPAC,2007-11-09,2.0
EPD,2002-05-16,2.0
EPD,2014-08-22,2.0
EQIX,2002-12-31,0.03125
EQR,2001-10-12,2.0
EQT,2001-06-12,2.0
EQT,2005-09-02,2.0
EQT,2018-11-13,1.837
ESCA,2002-04-01,3.0
ESCA,2004-05-26,2.0
ESE,2005-09-26,2.0
ET,2014-01-27,2.0
ET,2015-07-27,2.0
ETR,2024-12-13,2.0
EW,2010-05-28,2.0
EW,2015-12-14,2.0
EW,2020-06-01,3.0
EWBC,2004-06-22,2.0
EXC,2004-05-06,2.0
EXC,2022-02-02,1.402
EXLS,2023-08-02,5.0
EXP,2006-02-27,3.0
EXPD,2002-06-25,2.0
EXPD,2006-06-26,2.0
EXPE,2011-12-21,0.5
EXPO,2006-06-12,2.0
EXPO,2015-06-05,2.0
EXPO,2018-06-08,2.0
EXTR,2000-08-25,2.0
EYPT,2008-06-11,0.25
EYPT,2020-12-09,0.1
EZPW,2006-12-12,3.0
F,2000-06-29,1.0409076714895389
F,2000-08-03,1.748175
FAST,2002-05-13,2.0
FAST,2005-11-14,2.0
FAST,2011-05-23,2.0
FAST,2019-05-23,2.0
FAST,2025-05-22,2.0
FBIN,2022-12-15,1.17
FBIZ,2015-08-31,2.0
FBLG,2026-03-30,0.05
FBNC,2004-11-16,1.5
FCEL,2000-09-14,2.0
FCEL,2001-06-20,2.0
FCEL,2015-12-04,0.08333333333333333
FCEL,2019-05-09,0.08333333333333333
FCEL,2024-11-11,0.03333333333333333
FCFS,2004-04-06,1.5
FCFS,2006-02-22,2.0
FCN,2002-01-17,1.5
FCN,2003-06-05,1.5
FCX,2011-02-02,2.0
FDS,2000-02-07,2.0
FDS,2005-02-07,1.5
FDX,2026-06-01,1.241
FELE,2002-03-25,2.0
FELE,2004-06-16,2.0
FELE,2013-03-19,2.0
FET,2020-11-10,0.05
FFBC,2001-03-07,1.05
FFIN,2001-06-04,1.25
FFIN,2003-06-03,1.25
FFIN,2005-06-02,1.3333333333333333
FFIN,2011-06-02,1.5
FFIN,2014-06-03,2.0
FFIN,2019-06-04,2.0
FFIV,2007-08-21,2.0
FHI,2000-07-18,1.5
FHN,2008-09-10,1.0306
FHN,2009-09-09,1.0159
FICO,2001-06-05,1.5
FICO,2002-06-06,1.5
FICO,2004-03-11,1.5
FITB,2000-07-17,1.5
FIZZ,2004-03-23,2.0
FIZZ,2007-05-31,1.2
FIZZ,2021-02-22,2.0
FLO,2002-01-03,1.5
FLO,2003-06-30,1.5
FLO,2005-07-05,1.5
FLO,2007-07-02,1.5
FLO,2011-06-27,1.5
FLO,2013-06-20,1.5
FLR,2008-07-17,2.0
FLS,2013-06-24,3.0
FMAO,2006-05-15,4.0
FMAO,2017-09-21,2.0
FMBH,2001-11-19,1.5
FMBH,2004-07-19,1.5
FMBH,2007-07-02,1.5
FMC,2007-09-14,2.0
FMC,2012-05-25,2.0
FMC,2019-03-04,1.153
FNB,2000-04-26,1.05
FNB,2001-05-01,1.05
FNB,2002-05-15,1.05
FNB,2003-05-13,1.05
FNF,2014-07-01,1.216
FNF,2017-10-02,1.385
FNF,2022-12-01,1.04
FNF,2025-12-17,1.037
FNLC,2004-06-02,3.0
FORR,2000-02-08,2.0
FRME,2001-08-29,1.05
FRME,2002-08-28,1.05
FRME,2003-08-27,1.05
FRPH,2011-01-18,3.0
FRPH,2024-04-15,2.0
FRST,2007-04-30,1.1
FSK,2020-06-16,0.25
FTAI,2022-08-02,1.171
FTNT,2011-06-02,2.0
FTNT,2022-06-23,5.0
FTV,2020-10-09,1.195
FTV,2025-06-30,1.327
FUBO,2026-03-24,0.08333333333333333
FUL,2001-11-19,2.0
FUL,2006-08-07,2.0
FULT,2000-05-04,1.05
FULT,2001-04-30,1.05
FULT,2002-05-21,1.25
FULT,2003-04-28,1.05
FULT,2004-05-12,1.05
FULT,2005-06-09,1.25
FULT,2006-05-17,1.05
FWONK,2014-11-05,1.323
FWONK,2016-04-18,1.365941
FWONK,2023-07-20,1.017
FWRD,2000-01-31,1.5
FWRD,2005-04-04,1.5
GABC,2000-11-28,1.05
GABC,2001-11-28,1.05
GABC,2002-11-26,1.05
GABC,2003-11-26,1.05
GABC,2017-04-24,1.5
GALT,2012-03-23,0.16666666666666666
GAMI,2015-12-01,1.857
GBCI,2000-05-12,1.1
GBCI,2003-05-09,1.1
GBCI,2004-05-21,1.25
GBCI,2005-05-27,1.25
GBCI,2006-12-15,1.5
GBDC,2020-04-13,1.021
GBTC,2018-01-29,91.0
GCBC,2005-06-01,2.0
GCBC,2016-03-16,2.0
GCBC,2023-03-24,2.0
GD,2006-03-27,2.0
GE,2000-05-08,3.0
GE,2019-02-26,1.04
GE,2021-08-02,0.125
GE,2023-01-04,1.281
GE,2024-04-02,1.253
GEF,2007-04-12,2.0
GEN,2002-02-01,2.0
GEN,2003-11-20,2.0
GEN,2004-12-01,2.0
GENC,2016-08-02,1.5
GEO,2006-10-02,1.5
GEO,2007-06-01,2.0
GEO,2017-04-25,1.5
GEOS,2012-10-19,2.0
GERN,2014-07-22,1.058
GEVO,2015-04-21,0.06666666666666667
GEVO,2017-01-06,0.05
GEVO,2018-06-04,0.05
GFF,2001-08-16,1.1
GGG,2001-02-07,1.5
GGG,2002-06-07,1.5
GGG,2004-03-31,1.5
GGG,2017-12-28,3.0
GHC,2015-07-01,1.655
GHM,2005-10-04,2.0
GHM,2008-01-03,1.25
GHM,2008-10-07,2.0
GIII,2006-03-28,1.5
GIII,2015-05-04,2.0
GILD,2001-02-22,2.0
GILD,2002-03-08,2.0
GILD,2004-09-07,2.0
GILD,2007-06-25,2.0
GILD,2013-01-28,2.0
GIS,2010-06-09,2.0
GL,2011-07-05,1.5
GL,2014-07-02,1.5
GLAD,2024-04-05,0.5
GLW,2000-10-04,3.0
GME,2007-03-19,2.0
GME,2022-07-22,4.0
GNK,2016-07-08,0.1
GNL,2017-03-01,0.3333333333333333
GNTX,2005-05-09,2.0
GNTX,2015-01-02,2.0
GOOG,2014-03-27,2.002
GOOG,2015-04-27,1.0027455
GOOG,2022-07-18,20.0
GPK,2000-01-03,1.8
GPN,2005-10-31,2.0
GPN,2015-11-03,2.0
GRBK,2012-06-15,0.05
GRBK,2014-09-24,1.532
GRC,2004-09-13,1.25
GRC,2006-12-11,1.25
GRC,2007-12-11,1.25
GRC,2011-06-13,1.25
GRC,2013-12-11,1.25
GRPN,2020-06-11,0.05
GSAT,2025-02-11,0.06666666666666667
GSBC,2004-06-02,2.0
GTII.CN,2007-07-24,1.25
GTII.CN,2010-01-07,0.1
GTII.CN,2018-06-13,0.002717391304347826
GVA,2001-04-16,1.5
HAE,2012-12-03,2.0
HAFC,2000-02-28,1.1
HAFC,2001-03-12,1.12
HAFC,2001-09-24,1.5
HAFC,2002-03-05,1.09
HAFC,2005-02-16,2.0
HAFC,2011-12-19,0.125
HAIN,2014-12-30,2.0
HAL,2006-07-17,2.0
HBAN,2000-07-12,1.1
HBNC,2003-11-18,1.5
HBNC,2011-12-12,1.5
HBNC,2012-11-13,1.5
HBNC,2016-11-15,1.5
HBNC,2018-06-18,1.5
HCSG,2004-03-02,1.5
HCSG,2005-05-03,1.5
HCSG,2007-08-13,1.5
HCSG,2010-11-15,1.5
HD,1999-12-31,1.5
HE,2004-06-14,2.0
HEI,2000-07-06,1.1
HEI,2001-08-08,1.1
HEI,2004-01-02,1.1
HEI,2010-04-27,1.25
HEI,2011-04-26,1.25
HEI,2012-04-25,1.25
HEI,2013-10-23,1.25
HEI,2017-04-19,1.25
HEI,2018-01-18,1.25
HEI,2018-06-28,1.25
HHH,2024-08-01,1.049
HIPO,2022-09-30,0.04
HLF,2011-05-18,2.0
HLF,2018-05-15,2.0
